microsecond	duration	track	channel	instrument	pitch	velocity	bar	beat	bar_diff	beat_diff
23811615	264573	0x01	0x01	0x01	0x46	0x4C	11.2500	0.1250	45.0000	0.5000
24076188	264574	0x01	0x01	0x01	0x48	0x4D	11.3750	0.1250	45.5000	0.5000
24340762	264573	0x01	0x01	0x01	0x49	0x4E	11.5000	0.1250	46.0000	0.5000
24605335	264574	0x01	0x01	0x01	0x49	0x4E	11.6250	0.1250	46.5000	0.5000
24869909	264573	0x01	0x01	0x01	0x4B	0x51	11.7500	0.1250	47.0000	0.5000
25134482	396860	0x01	0x01	0x01	0x48	0x4A	11.8750	0.1875	47.5000	0.7500
25531342	132287	0x01	0x01	0x01	0x46	0x4D	12.0625	0.0625	48.2500	0.2500
25663629	1322868	0x01	0x01	0x01	0x44	0x46	12.1250	0.6250	48.5000	2.5000
27780217	264574	0x01	0x01	0x01	0x46	0x4C	13.1250	0.1250	52.5000	0.5000
28044791	264573	0x01	0x01	0x01	0x46	0x4C	13.2500	0.1250	53.0000	0.5000
28309364	264574	0x01	0x01	0x01	0x48	0x4E	13.3750	0.1250	53.5000	0.5000
28573938	264573	0x01	0x01	0x01	0x49	0x4F	13.5000	0.1250	54.0000	0.5000
28838511	264574	0x01	0x01	0x01	0x46	0x4A	13.6250	0.1250	54.5000	0.5000
29367658	264574	0x01	0x01	0x01	0x44	0x48	13.8750	0.1250	55.5000	0.5000
29632232	264573	0x01	0x01	0x01	0x50	0x58	14.0000	0.1250	56.0000	0.5000
30161379	264573	0x01	0x01	0x01	0x50	0x55	14.2500	0.1250	57.0000	0.5000
30425952	1058294	0x01	0x01	0x01	0x4B	0x4B	14.3750	0.5000	57.5000	2.0000
32013393	264574	0x01	0x01	0x01	0x46	0x4A	15.1250	0.1250	60.5000	0.5000
32277967	264573	0x01	0x01	0x01	0x46	0x4B	15.2500	0.1250	61.0000	0.5000
32542540	264574	0x01	0x01	0x01	0x48	0x4E	15.3750	0.1250	61.5000	0.5000
32807114	264573	0x01	0x01	0x01	0x49	0x4F	15.5000	0.1250	62.0000	0.5000
33071687	264574	0x01	0x01	0x01	0x46	0x4A	15.6250	0.1250	62.5000	0.5000
33336261	264573	0x01	0x01	0x01	0x49	0x50	15.7500	0.1250	63.0000	0.5000
33600834	264574	0x01	0x01	0x01	0x4B	0x53	15.8750	0.1250	63.5000	0.5000
34129981	264574	0x01	0x01	0x01	0x48	0x4B	16.1250	0.1250	64.5000	0.5000
34394555	264573	0x01	0x01	0x01	0x46	0x48	16.2500	0.1250	65.0000	0.5000
34659128	132287	0x01	0x01	0x01	0x48	0x4D	16.3750	0.0625	65.5000	0.2500
34791415	132287	0x01	0x01	0x01	0x46	0x48	16.4375	0.0625	65.7500	0.2500
34923702	1058294	0x01	0x01	0x01	0x44	0x44	16.5000	0.5000	66.0000	2.0000
36246569	264574	0x01	0x01	0x01	0x46	0x4C	17.1250	0.1250	68.5000	0.5000
36511143	264573	0x01	0x01	0x01	0x46	0x4C	17.2500	0.1250	69.0000	0.5000
36775716	264574	0x01	0x01	0x01	0x48	0x4F	17.3750	0.1250	69.5000	0.5000
37040290	264573	0x01	0x01	0x01	0x49	0x50	17.5000	0.1250	70.0000	0.5000
37304863	264574	0x01	0x01	0x01	0x46	0x4A	17.6250	0.1250	70.5000	0.5000
37569437	264573	0x01	0x01	0x01	0x44	0x46	17.7500	0.1250	71.0000	0.5000
38098584	264573	0x01	0x01	0x01	0x4B	0x54	18.0000	0.1250	72.0000	0.5000
38363157	264574	0x01	0x01	0x01	0x4B	0x52	18.1250	0.1250	72.5000	0.5000
38627731	264573	0x01	0x01	0x01	0x4B	0x50	18.2500	0.1250	73.0000	0.5000
38892304	264574	0x01	0x01	0x01	0x4D	0x53	18.3750	0.1250	73.5000	0.5000
39156878	793720	0x01	0x01	0x01	0x4B	0x4D	18.5000	0.3750	74.0000	1.5000
40215172	1322867	0x01	0x01	0x01	0x49	0x4A	19.0000	0.6250	76.0000	2.5000
41538039	264574	0x01	0x01	0x01	0x4B	0x4D	19.6250	0.1250	78.5000	0.5000
41802613	264573	0x01	0x01	0x01	0x4D	0x4E	19.7500	0.1250	79.0000	0.5000
42067186	264574	0x01	0x01	0x01	0x49	0x49	19.8750	0.1250	79.5000	0.5000
42331760	264573	0x01	0x01	0x01	0x4B	0x4D	20.0000	0.1250	80.0000	0.5000
42596333	132287	0x01	0x01	0x01	0x4B	0x4C	20.1250	0.0625	80.5000	0.2500
42860907	264573	0x01	0x01	0x01	0x4B	0x4C	20.2500	0.1250	81.0000	0.5000
43125480	132287	0x01	0x01	0x01	0x4D	0x50	20.3750	0.0625	81.5000	0.2500
43390054	264573	0x01	0x01	0x01	0x4B	0x4B	20.5000	0.1250	82.0000	0.5000
43654627	264574	0x01	0x01	0x01	0x44	0x41	20.6250	0.1250	82.5000	0.5000
43919201	529147	0x01	0x01	0x01	0x44	0x42	20.7500	0.2500	83.0000	1.0000
45506642	264573	0x01	0x01	0x01	0x46	0x4C	21.5000	0.1250	86.0000	0.5000
45771215	264574	0x01	0x01	0x01	0x48	0x4E	21.6250	0.1250	86.5000	0.5000
46035789	264573	0x01	0x01	0x01	0x49	0x4F	21.7500	0.1250	87.0000	0.5000
46300362	264574	0x01	0x01	0x01	0x46	0x4A	21.8750	0.1250	87.5000	0.5000
46829509	264574	0x01	0x01	0x01	0x4B	0x51	22.1250	0.1250	88.5000	0.5000
47094083	264573	0x01	0x01	0x01	0x4D	0x53	22.2500	0.1250	89.0000	0.5000
47358656	529147	0x01	0x01	0x01	0x4B	0x4E	22.3750	0.2500	89.5000	1.0000
48152377	132286	0x01	0x01	0x01	0x44	0x45	22.7500	0.0625	91.0000	0.2500
48284663	132287	0x01	0x01	0x01	0x46	0x49	22.8125	0.0625	91.2500	0.2500
48416950	132287	0x01	0x01	0x01	0x49	0x4F	22.8750	0.0625	91.5000	0.2500
48549237	132287	0x01	0x01	0x01	0x46	0x48	22.9375	0.0625	91.7500	0.2500
48681524	396860	0x01	0x01	0x01	0x4D	0x57	23.0000	0.1875	92.0000	0.7500
49078384	396860	0x01	0x01	0x01	0x4D	0x55	23.1875	0.1875	92.7500	0.7500
49475244	396860	0x01	0x01	0x01	0x4B	0x4F	23.3750	0.1875	93.5000	0.7500
50268965	132286	0x01	0x01	0x01	0x44	0x45	23.7500	0.0625	95.0000	0.2500
50401251	132287	0x01	0x01	0x01	0x46	0x49	23.8125	0.0625	95.2500	0.2500
50533538	132287	0x01	0x01	0x01	0x49	0x4F	23.8750	0.0625	95.5000	0.2500
50665825	132287	0x01	0x01	0x01	0x46	0x48	23.9375	0.0625	95.7500	0.2500
50798112	396860	0x01	0x01	0x01	0x4B	0x55	24.0000	0.1875	96.0000	0.7500
51194972	396860	0x01	0x01	0x01	0x4B	0x53	24.1875	0.1875	96.7500	0.7500
51591832	396860	0x01	0x01	0x01	0x49	0x4D	24.3750	0.1875	97.5000	0.7500
51988692	132287	0x01	0x01	0x01	0x48	0x4B	24.5625	0.0625	98.2500	0.2500
52120979	132287	0x01	0x01	0x01	0x46	0x47	24.6250	0.0625	98.5000	0.2500
52385553	132286	0x01	0x01	0x01	0x44	0x44	24.7500	0.0625	99.0000	0.2500
52517839	132287	0x01	0x01	0x01	0x46	0x4A	24.8125	0.0625	99.2500	0.2500
52650126	132287	0x01	0x01	0x01	0x49	0x52	24.8750	0.0625	99.5000	0.2500
52782413	132287	0x01	0x01	0x01	0x46	0x49	24.9375	0.0625	99.7500	0.2500
52914700	529147	0x01	0x01	0x01	0x49	0x53	25.0000	0.2500	100.0000	1.0000
53443847	132286	0x01	0x01	0x01	0x4B	0x54	25.2500	0.0625	101.0000	0.2500
53708420	66143	0x01	0x01	0x01	0x47	0x4A	25.3750	0.0313	101.5000	0.1250
53774563	198431	0x01	0x01	0x01	0x48	0x4C	25.4063	0.0938	101.6250	0.3750
53972994	264573	0x01	0x01	0x01	0x46	0x48	25.5000	0.1250	102.0000	0.5000
54237567	264574	0x01	0x01	0x01	0x44	0x44	25.6250	0.1250	102.5000	0.5000
54766714	132287	0x01	0x01	0x01	0x44	0x48	25.8750	0.0625	103.5000	0.2500
55031288	529147	0x01	0x01	0x01	0x4B	0x54	26.0000	0.2500	104.0000	1.0000
55560435	529147	0x01	0x01	0x01	0x49	0x4F	26.2500	0.2500	105.0000	1.0000
56618729	132286	0x01	0x01	0x01	0x44	0x4A	26.7500	0.0625	107.0000	0.2500
56751015	132287	0x01	0x01	0x01	0x46	0x4C	26.8125	0.0625	107.2500	0.2500
56883302	132287	0x01	0x01	0x01	0x49	0x51	26.8750	0.0625	107.5000	0.2500
57015589	132287	0x01	0x01	0x01	0x46	0x4B	26.9375	0.0625	107.7500	0.2500
57147876	396860	0x01	0x01	0x01	0x4D	0x57	27.0000	0.1875	108.0000	0.7500
57544736	396860	0x01	0x01	0x01	0x4D	0x55	27.1875	0.1875	108.7500	0.7500
57941596	396860	0x01	0x01	0x01	0x4B	0x4F	27.3750	0.1875	109.5000	0.7500
58735317	132286	0x01	0x01	0x01	0x44	0x45	27.7500	0.0625	111.0000	0.2500
